country_code,continent_code
AFG,AS
AWH,REG
ALB,EU
DZA,AF
ASM,OC
AND,EU
AGO,AF
ATG,NA
ARG,SA
ARM,AS
AUS,OC
AUT,EU
AZE,AS
BHS,NA
BHR,AS
BGD,AS
BRB,NA
BLR,EU
BEL,EU
BLZ,NA
BEN,AF
BMU,NA
BTN,AS
BOL,SA
BIH,EU
BWA,AF
BRA,SA
BRN,AS
BGR,EU
BFA,AF
BDI,AF
KHM,AS
CMR,AF
CAN,NA
CPV,AF
CAF,AF
TCD,AF
CHL,SA
CHN,AS
COL,SA
COM,AF
COG,AF
COK,OC
CRI,NA
CIV,AF
HRV,EU
CUB,NA
CYP,EU
CZE,EU
COD,AF
DNK,EU
DJI,AF
DMA,NA
DOM,NA
EAP,REG
EMR,REG
ECU,SA
EGY,AF
SLV,NA
ENG,EU
GNQ,AF
ERI,AF
EST,EU
SWZ,AF
ETH,AF
ECA,REG
ERW,REG
FJI,OC
FIN,EU
FRA,EU
G20,REG
GAB,AF
GMB,AF
GEO,AS
DEU,EU
GHA,AF
GRC,EU
GRL,NA
GRD,NA
GUM,OC
GTM,NA
GIN,AF
GNB,AF
GUY,SA
HTI,NA
HND,NA
HUN,EU
ISL,EU
IND,AS
IDN,AS
IRN,AS
IRQ,AS
IRL,EU
ISR,AS
ITA,EU
JAM,NA
JPN,AS
JOR,AS
KAZ,AS
KEN,AF
KIR,OC
KWT,AS
KGZ,AS
LAO,AS
LAC,REG
LVA,EU
LBN,AS
LSO,AF
LBR,AF
LBY,AF
LTU,EU
LUX,EU
MDG,AF
MWI,AF
MYS,AS
MDV,AS
MLI,AF
MLT,EU
MHL,OC
MRT,AF
MUS,AF
MEX,NA
FSM,OC
MNA,REG
MDA,EU
MCO,EU
MNG,AS
MNE,EU
MAR,AF
MOZ,AF
MMR,AS
NAM,AF
NRU,OC
NPL,AS
NLD,EU
NZL,OC
NIC,NA
NER,AF
NGA,AF
NIU,OC
NAW,NA
PRK,AS
MKD,EU
NIR,EU
MNP,OC
NOR,EU
ECD,REG
OMN,AS
PAK,AS
PLW,OC
PSE,AS
PAN,NA
PNG,OC
PRY,SA
PER,SA
PHL,AS
POL,EU
PRT,EU
PRI,NA
QAT,AS
ROA,REG
ROU,EU
RUS,AS
RWA,AF
KNA,NA
LCA,NA
VCT,NA
WSM,OC
SMR,EU
STP,AF
SAU,AS
SCO,EU
SEN,AF
SRB,EU
SYC,AF
SLE,AF
SGP,AS
SVK,EU
SVN,EU
SLB,OC
SOM,AF
ZAF,AF
SAW,REG
KOR,AS
SSD,AF
SEA,REG
ESP,EU
LKA,AS
SSA,REG
SDN,AF
SUR,SA
SWE,EU
CHE,EU
SYR,AS
TWN,AS
TJK,AS
TZA,AF
THA,AS
TLS,AS
TGO,AF
TKL,OC
TON,OC
TTO,NA
TUN,AF
TUR,EU
TKM,AS
TUV,OC
UGA,AF
UKR,EU
ARE,AS
GBR,EU
USA,NA
VIR,NA
URY,SA
UZB,AS
VUT,OC
VEN,SA
WNM,AS
WAL,EU
WPR,REG
WWW,REG
WBH,REG
WBL,REG
WLM,REG
WUM,REG
YEM,AS
ZMB,AF
ZWE,AF
